lemma,labels,custom
C,"proteinogenic amino acid, programming language, DL-cysteine, character from Star Wars, square number, harshad number, SI unit with special name, structured programming language, television character, even number, imperative programming language, diacritic, procedural programming language, human, functional programming language, generic programming language, DL-ascorbic acid, literary character, class of disease, natural number, octadecagonal number, L-amino acid, sourcing circumstance, infectious disease, SI derived unit, consonant letter, chemical compound, chemical element, animated character, unit of charge, free-form language, UCUM base unit, vitamin, comics character, video game character, computer science term, tetronic acid, power of 10, film character, multi-paradigm programming language, droid, Latin-script letter, object-based language, dispensable amino acids, chemical entity class, abbreviation, medication, compiled language, coherent SI unit, composite number",PERSON
Sulla,"literary work, village in India, human, family name, statute, cognomen, taxon",PERSON
L Saenius,Wikimedia list article,PERSON
C Manlius,human,PERSON
Capua,"literary work, archaeological site, suffragan diocese, year BC, family name, region of Italy, encyclopedia article, Roman Catholic archdiocese not metropolitan, ancient city, comune of Italy, city, municipality seat, polis, taxon",PLACE
Q Marcius,"human, senatus consultum, conspiracy, inscription",PERSON
Q Metellus,"human, Wikimedia list article, conspiracy",PERSON
Apulia,"town of Portugal, freguesia of Portugal, constituency of the Italian Chamber of Deputies, region of Italy, comune of Italy, third-level administrative country subdivision, historical region, taxon",PLACE
Pompejus Rufus,UNKNOWN,PERSON
Metellus,"human, encyclopedia article, family name, cognomen",PERSON
Celer,"drainage basin, fundamental limit, Olympian god, constant, medical attribute type, human, Greek deity, measured quantity value, UCUM constant, river, unit of speed, physical constant, unit of measurement, cognomen",PLACe
Lucius Paulus,"human, Wikimedia list article, year",PERSON
M Tullius,"historical profession, literary work, kinship, human, archaeological site, century, student competition, ancient city, comune of Italy, city, polis",PERSON
Cethegus,"year, human, Wikimedia human name disambiguation page, year BC, cognomen, taxon",PERSON
Lentulus,"human, operatic character, fictional human, cognomen, biographical article",PERSON
Quintus Marcius,"human, gens, year BC",PERSON
Dius,"human, goddess, Roman deity, epithet, asteroid, lunisolar calendar, mythological Greek character, calendar month",GOD
Gaius,"human, Latin phrase, taxon, praenomen, male given name",PERSON
Vetera,"comune of Italy, biblical concept, itinerarium, ancient Roman structure, religious concept, archaeological site, village, United States federal executive department, document, fossil taxon, research institute, botanical garden, river, earthquake, civil parish, protected area of Russia, castrum",PLACE
Novum,"largest city, big city, planned community, city in the United States, comune of Italy, province of Canada, million city, municipality of India, city, U.S. state, city in the state of New York, district, civil parish, consolidated city-county, unparished area, seat of government, megacity, capital city, port settlement, global city, metropolis",PLACE
M Crassus,"human, year BC",PERSON
P Umbrenus,conspiracy,PERSON
Allobroges,"second largest city, human, encyclopedia article, city of Switzerland, municipality of Switzerland, college town, big city, historical ethnic group, cantonal capital of Switzerland, commune of France, year BC",PEOPLE
Umbrenus,"encyclopedia article, conspiracy",PERSON
D Brutus,"Wikimedia list article, human, point in time with respect to recurrent timeframe, literary work, year BC",PERSON
Brutus,"fictional human formerly considered to be historical, human, commune of France, literary work, taxon, cognomen",PERSON
Gabinius,"human, Wikimedia list article, conspiracy, nomen, taxon, Roman province, year BC, statute",PERSON
Sanga,"human, city of Switzerland, county of Illinois, municipality of Switzerland, college town, cantonal capital of Switzerland, local government area of Nigeria, family name, province of Turkey, vegetation zone",PLACE
Bruttius,"human, encyclopedia article, year, nomen",PERSON
C Murena,"human, literary work, taxon, cognomen, year BC",PERSON
Statilius,"human, encyclopedia article, year, nomen, year BC",PERSON
T Vulturcius,UNKNOWN,PERSON
Vulturcius,UNKNOWN,PERSON
L Valerius Flaccus,"human, Wikimedia human name disambiguation page",PERSON
Caeparius,UNKNOWN,PERSON
Concordia,"municipality of Brazil, big city, New England town, parish of Louisiana, asteroid, city in the United States, comune of Italy, capsizing, suffragan diocese, city, border town, shipwrecking, ship collision, association football club, university in Quebec, ship grounding, diocese of the Catholic Church, municipality, county seat, Roman deity, state or insular area capital of the United States",PERSON
Servius Sulla,"regional history, Wikimedia list article, human, academic discipline, male given name, mythological Greek character, history of a country or state",PERSON
Cinna,"Wikimedia list article, human, year, taxon, cognomen, year BC",PERSON
P Lentulus Spintherus,UNKNOWN,PERSON
C Caesar,"human, year, historical ethnic group, literary work, abbreviation",PERSON
Gabinus,"male given name, human, family name, cross-reference",PERSON
Cn Terentius,"Wikimedia list article, literary work, human, award",PERSON
L Tarquinius,"human, Wikimedia list article, profession, historical country, historical period, ancient civilization, historical position, year BC, human who may be fictional, prophecy",PERSON
Tarquinius,"fictional human formerly considered to be historical, human, encyclopedia article, profession, historical period, historical country, year BC, historical position, nomen, human who may be fictional, taxon, fictional human, operatic character, painting",PERSON
Alii,"model organism, human, syndrome, religious denomination, symptom or sign, hill, restriction enzyme type, pandemic, literary work, taxon, designation, nobility, group, civil war, endemic disease, class of disease, armed conflict",PERSON
C Piso,human,PERSON
D,"human, natural number, concurrent programming language, biomarker, extrasolar planet, star, compiled language, isotope of hydrogen, association football position, protein, even number, composite number, UCUM derived unit, non-SI unit mentioned in and accepted with the SI, generic programming language, unconfirmed exoplanet, functional programming language, consonant letter, year type, programming language, stable isotope, Starfleet ship, musical work/composition, multi-paradigm programming language, giant planet, imperative programming language, harshad number, unit of time, object-based language, Latin-script letter, procedural programming language, visual artifact, fibrin degradation product",PERSON
Silanus,"comune of Italy, human, primary school, municipality seat, cognomen, lower secondary school",PERSON
L,"Wikimedia list article, human, natural number, hexagonal pyramidal number, magic number, chemical entity class, proteinogenic amino acid, given name, even number, composite number, UCUM derived unit, initials instead of given names, taxon, non-SI unit mentioned in and accepted with the SI, currency, DL-leucine, medication, consonant letter, L-amino acid, FPB content descriptor, essential amino acid, harshad number, Latin-script letter, chemical compound, unit of volume",PERSON
Tiberius Nero,"Wikimedia list article, human, year BC",PERSON
Perses,"religious character, human, dynasty, titan, literary work, Greek deity, building, mythological Greek character, year BC, human who may be fictional",PERSON
Rhodii,"polis, human, island, written work, university, literary work, mythological Greek character, year BC, human who may be fictional",PLACE
P Lentulus,human,PERSON
D Silanus,"Wikimedia list article, human",PERSON
